Номер примера;Количество комнат;Общая площадь;Жилая площадь;Тип дома;Этажность квартиры;Этажность дома;Площадь кухни;Индекс места;Минут ходьбы;Телефон;Балкон / Лоджия;Цена
1040;3;76;47;1;1;16;10;42;3;1;0;90000
1041;1;33;19;1;5;9;7;119;7;1;0;39000
1042;4;83;63;0;3;6;7;30;5;1;2;145000
1043;2;43;27;0;2;8;7;19;10;1;1;80000
1044;1;33;20;0;6;8;6;79;10;0;2;37000
1045;1;37;19;1;23;23;9;75;15;1;2;47000
1046;1;33;18;2;6;9;8;100;25;0;0;31000
1047;1;32;21;1;1;9;6;87;25;0;0;29000
1048;1;38;20;1;2;22;10;54;10;1;2;55000
1049;1;33;17;1;2;5;9;102;7;1;0;38000
1050;1;38;19;1;10;22;10;92;5;0;2;44000
1051;2;55;33;1;5;17;10;88;10;1;2;59000
1052;1;28;17;0;4;12;7;35;2;0;1;36000
1053;1;30;15;1;2;5;6;117;25;1;0;32000
1054;1;35;19;2;2;12;10;22;10;1;0;60000
1055;3;67;44;1;16;16;10;45;10;1;2;92000
1056;1;35;19;1;7;16;10;105;5;1;1;44000
1057;2;44;29;0;9;9;6;97;2;1;2;49000
1058;2;54;34;1;10;16;10;54;10;1;2;75000
1059;2;40;23;1;11;12;8;70;10;1;2;47000
1060;2;39;24;1;2;14;7;113;25;1;1;42000
1061;3;83;55;0;5;9;8;35;5;1;2;140000
1062;2;35;22;0;8;9;7;28;1;1;2;55000
1063;2;57;32;1;9;17;11;42;1;1;2;92000
1064;3;85;60;0;1;5;9;100;25;1;1;100000
1065;2;36;26;1;6;8;6;43;3;1;2;55000
1066;1;38;19;1;6;16;9;119;15;0;1;40000
1067;4;89;57;1;5;14;9;78;10;1;1;95000
1068;1;30;16;1;1;5;7;83;3;1;0;31000
1069;2;39;24;2;2;12;6;97;5;1;0;44000
1070;2;41;26;0;1;5;6;103;10;1;0;40000
1071;1;31;19;1;3;5;6;31;10;1;2;41000
1072;1;34;18;1;8;9;8;41;10;1;0;45000
1073;3;80;52;0;1;4;10;72;10;1;0;95000
1074;1;32;19;1;8;9;7;117;25;0;0;33000
1075;3;65;43;0;2;5;8;95;3;1;0;70000
1076;3;55;38;0;7;9;6;68;25;1;2;74000
1077;2;70;44;0;8;8;10;30;5;0;0;115000
1078;5;100;60;1;1;14;16;119;35;0;0;92000
1079;1;28;15;1;9;9;6;127;3;0;0;27000
1080;3;57;40;0;5;5;7;37;10;1;2;67000
1081;1;32;19;0;1;4;6;121;25;1;0;26500
1082;3;50;34;1;4;9;7;85;35;1;1;60000
1083;3;87;53;0;3;5;8;73;7;1;2;93000
1084;2;60;34;1;14;17;11;88;20;1;1;68000
1085;1;36;19;1;14;17;9;8;1;1;2;60000
1086;3;58;44;2;1;5;7;103;10;1;0;55000
1087;2;50;32;0;12;14;9;68;35;1;1;65000
1088;1;31;19;0;8;9;6;104;25;1;2;40000
1089;3;73;53;0;5;5;9;18;25;1;2;92000
